,won
total_sv_win_pct,0.6114618160914663
first_sv_win_pct,0.5099531788810291
second_sv_win_pct,0.46270692681991704
bp_save_pct,0.299219486876786
ace_pct,0.23757813231906397
rank_points,0.1988468850645835
ace,0.15879149121727987
first_won,0.13520253295761592
first_sv_pct,0.1199367862360557
second_won,0.11023157297253787
height,0.0642269317909459
sv_gms,0.027185011470991463
player_id,0.009595306112741028
minutes,-0.0009754106700514203
first_in,-0.015435767718236262
svpt,-0.051525193199228235
df,-0.13302624628825177
rank,-0.15206894106998223
bp_saved,-0.20397642601908716
bp_faced,-0.39442456910167556
