player_id,player_name,height,hand,avg_minutes,avg_aces,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,Wins,Losses,Matches_Played,Win_Pct,titles_won
100644,Alexander Zverev,198,R,117.14,8.7,3.7,79.1,52.94,39.68,13.21,12.86,3.37,5.4,460,192,652,70.55,23
102093,Martin Damm,203,L,107.0,14.0,2.0,66.33,43.0,33.0,12.67,10.33,2.0,3.33,2,1,3,66.67,
103163,Tommy Haas,188,R,110.22,5.0,4.28,87.5,53.61,37.33,17.89,13.17,5.83,8.5,8,23,31,25.81,
103188,Michael Russell,173,R,172.0,4.0,7.0,153.0,96.0,52.0,24.0,18.0,14.0,23.0,0,1,1,0.0,
103285,Radek Stepanek,185,R,114.55,5.48,3.93,82.24,49.66,35.52,15.69,12.52,4.86,7.62,20,23,43,46.51,
103333,Ivo Karlovic,208,R,112.54,21.29,4.96,88.6,57.66,47.62,16.94,14.49,2.84,3.9,110,108,218,50.46000000000001,3
103401,Jan Hernych,190,R,92.5,5.0,1.5,79.0,50.0,30.5,11.0,12.5,5.5,10.5,2,3,5,40.0,
103565,Stephane Robert,185,R,96.38,4.53,4.85,78.13,39.94,27.64,17.36,11.98,4.91,8.75,17,38,55,30.91,
103582,Michael Berrer,193,L,110.1,5.29,2.43,83.57,56.43,38.86,12.48,12.81,5.67,8.9,10,19,29,34.48,
103607,Victor Estrella,173,R,100.8,3.2,2.23,78.87,52.15,34.39,13.24,11.92,4.61,7.79,41,56,97,42.27,1
103656,Albert Montanes,175,R,91.7,2.85,3.22,69.67,41.81,29.67,14.19,11.07,3.52,6.0,15,17,32,46.88,
103720,Lleyton Hewitt,180,R,144.43,6.14,4.71,98.14,54.43,37.14,22.0,15.43,5.71,10.29,5,10,15,33.33,
103781,Jurgen Melzer,183,L,107.76,4.0,3.32,83.28,53.84,36.04,14.36,12.72,4.32,7.68,15,18,33,45.45,
103794,Benjamin Becker,178,R,95.67,6.13,2.76,77.59,47.7,33.48,13.72,12.24,3.74,7.04,20,42,62,32.26,
103812,Victor Hanescu,198,R,72.0,8.0,1.0,54.5,34.0,27.5,12.0,10.0,2.0,3.0,1,1,2,50.0,
103813,Jarkko Nieminen,185,L,101.55,3.55,1.77,87.27,56.55,38.73,15.09,12.95,5.73,8.77,15,18,33,45.45,
103819,Roger Federer,185,R,104.85,8.67,1.69,78.59,49.74,39.08,16.77,13.26,2.7,3.98,259,50,309,83.82,21
103835,Filippo Volandri,183,R,95.0,0.0,0.5,67.0,51.5,32.5,8.0,11.5,4.5,8.5,0,2,2,0.0,
103843,Marco Chiudinelli,185,R,128.93,4.27,2.67,91.6,53.13,38.6,19.0,14.33,3.53,7.0,6,13,19,31.580000000000002,
103852,Feliciano Lopez,188,L,111.21,11.49,3.7,84.82,48.84,37.48,18.05,13.31,4.32,6.62,144,156,300,48.0,3
103893,Paolo Lorenzi,183,R,120.37,4.59,2.85,83.81,48.93,34.33,17.37,12.82,4.42,7.48,72,109,181,39.78,1
103898,Julien Benneteau,185,R,108.99,8.1,4.08,80.62,48.78,35.18,15.38,12.66,3.79,6.59,29,44,73,39.73,
103902,Jan Mertl,190,R,117.0,8.5,6.5,89.5,57.0,41.5,13.0,13.0,4.5,7.5,2,1,3,66.67,
103908,Paul Henri Mathieu,185,R,107.07,4.59,3.89,82.83,46.67,32.35,17.7,12.37,4.54,7.67,26,41,67,38.81,
103917,Nicolas Mahut,191,R,108.95,5.87,2.77,82.06,50.02,36.37,16.38,12.98,3.95,6.47,59,62,121,48.76,1
103926,Daniel Munoz de la Nava,178,L,120.0,3.5,4.31,84.38,48.69,32.75,17.94,13.19,6.44,10.0,3,13,16,18.75,
103970,David Ferrer,175,R,111.67,2.39,3.63,78.35,48.26,33.23,15.6,12.3,4.23,7.05,133,84,217,61.29,4
103990,Tommy Robredo,180,R,100.02,3.39,2.02,75.72,48.8,33.11,13.26,11.7,4.3,7.2,32,42,74,43.24,
103997,Lukasz Kubot,191,R,129.0,10.0,5.0,95.0,63.0,46.5,18.0,14.0,4.5,6.0,1,3,4,25.0,
104007,Andre Ghem,193,R,117.0,1.0,1.5,86.0,55.5,38.5,15.5,13.5,5.0,8.5,0,2,2,0.0,
104022,Mikhail Youzhny,183,R,104.81,3.43,3.4,79.44,47.8,32.05,15.81,11.98,4.71,7.9,43,82,125,34.4,
104095,David Guez,185,R,119.0,2.5,3.0,87.0,49.5,30.0,21.0,13.5,3.0,7.0,0,2,2,0.0,
104098,Dmitry Tursunov,185,R,102.54,3.69,3.0,85.54,54.0,35.77,14.08,12.85,5.92,10.31,2,12,14,14.29,
104112,Benjamin Balleret,185,R,131.0,4.5,1.5,93.0,59.5,39.0,18.5,16.0,8.0,13.0,4,5,9,44.440000000000005,
104117,Giovanni Lapentti,193,R,91.5,4.75,4.75,69.0,42.75,26.75,13.25,9.75,4.25,7.0,1,3,4,25.0,
104122,Carlos Berlocq,183,R,121.21,3.21,2.46,82.25,52.1,33.67,14.58,12.36,5.13,8.9,26,44,70,37.14,
104180,Gilles Muller,193,L,118.01,14.77,3.82,83.57,51.36,41.06,16.39,13.48,3.64,5.38,109,85,194,56.19,1
104198,Guillermo Garcia Lopez,188,R,110.2,3.76,3.84,79.51,45.61,32.16,16.87,12.12,4.13,7.04,81,104,185,43.78,2
104216,Maximo Gonzalez,173,R,117.2,2.6,3.13,85.27,53.13,32.27,15.6,12.2,6.53,10.73,3,12,15,20.0,
104229,Yen Hsun Lu,180,R,99.36,4.95,3.27,76.3,45.03,31.81,16.2,12.27,3.69,6.64,36,54,90,40.0,
104233,Frederik Nielsen,190,R,129.5,4.57,5.07,103.64,61.29,43.93,22.5,16.07,6.57,9.5,12,7,19,63.160000000000004,
104235,Matwe Middelkoop,191,R,123.0,15.0,9.0,123.0,63.0,47.0,30.0,14.0,15.0,16.0,2,0,2,100.0,
104251,Ti Chen,183,R,197.0,3.0,1.33,134.67,99.0,61.33,18.33,20.33,9.0,15.33,3,1,4,75.0,
104252,Florian Mayer,190,R,92.09,4.2,1.81,77.76,47.87,32.81,14.51,11.87,5.1,8.11,27,53,80,33.75,1
104259,Philipp Kohlschreiber,178,R,107.36,5.3,1.89,77.69,47.37,34.17,16.32,12.34,3.86,6.17,152,133,285,53.33,2
104268,Alejandro Falla,185,L,85.81,2.25,3.06,67.94,39.88,25.81,13.44,10.25,3.38,6.5,9,15,24,37.5,
104269,Fernando Verdasco,188,L,111.4,5.89,3.69,80.08,52.11,36.92,13.82,12.52,4.39,7.04,154,163,317,48.58,1
104273,Edouard Roger-Vasselin,185,R,109.19,4.19,2.19,81.75,54.75,35.62,13.06,13.06,3.75,8.06,8,15,23,34.78,
104291,Malek Jaziri,185,R,109.01,4.05,3.19,81.47,43.89,31.15,18.2,12.26,4.86,7.98,77,114,191,40.31,
104297,Rogerio Dutra Silva,178,R,108.33,3.59,3.57,78.2,47.02,31.7,15.16,12.08,4.52,8.05,17,46,63,26.979999999999997,
104308,Michal Przysiezny,185,R,118.75,7.75,3.25,89.0,51.5,39.25,18.25,14.25,4.5,7.5,2,7,9,22.220000000000002,
104312,Andreas Seppi,190,R,114.65,6.1,2.68,86.52,49.75,35.77,18.39,13.48,4.64,7.66,124,140,264,46.97,
104327,Steve Darcis,178,R,106.77,3.66,1.95,80.68,49.18,33.62,15.49,12.49,4.74,8.07,43,52,95,45.26,
104330,Rajeev Ram,193,R,101.15,7.15,3.12,81.18,50.97,36.79,15.09,12.62,3.94,6.59,21,27,48,43.75,
104338,Juan Monaco,185,R,105.6,2.01,1.21,75.94,55.31,35.01,10.82,11.75,4.51,7.69,38,37,75,50.67,1
104349,Rui Machado,178,R,119.5,0.0,3.5,88.0,65.0,41.5,10.5,12.5,6.5,9.5,2,3,5,40.0,
104386,Janko Tipsarevic,180,R,116.64,5.45,2.97,84.4,47.1,33.5,18.22,12.66,4.55,7.62,23,41,64,35.94,
104424,Go Soeda,178,R,113.95,3.14,1.73,82.95,48.0,32.36,16.91,13.09,4.41,8.18,10,22,32,31.25,
104433,Frank Dancevic,185,R,90.93,5.93,1.93,79.36,50.14,37.21,15.0,12.21,3.79,5.93,6,11,17,35.29,
104460,Dustin Brown,196,R,88.21,6.92,4.83,80.71,49.59,35.66,15.25,12.43,4.72,7.37,35,54,89,39.33,
104467,Lamine Ouahab,185,R,87.38,2.5,3.12,71.5,38.25,27.12,15.25,10.62,5.5,8.25,8,8,16,50.0,
104468,Gilles Simon,183,R,116.53,3.58,2.66,79.85,47.15,32.23,16.46,12.24,4.44,7.58,175,164,339,51.62,3
104471,Ivan Dodig,183,R,116.7,7.87,3.65,83.17,49.74,35.24,16.3,12.93,4.59,7.7,18,29,47,38.3,
104494,Adrian Ungur,178,R,109.38,3.08,2.77,88.69,55.54,36.62,16.46,13.23,5.54,9.08,7,10,17,41.18,
104499,Jimmy Wang,178,R,127.0,5.0,2.0,110.0,67.0,46.0,28.0,16.0,5.0,7.0,1,1,2,50.0,
104500,Somdev Devvarman,180,R,91.5,5.0,2.5,72.5,44.5,28.5,12.0,11.0,5.5,9.0,2,4,6,33.33,
104505,Konstantin Kravchuk,190,R,97.85,6.5,2.95,78.5,48.45,35.25,13.7,12.05,5.05,7.95,5,18,23,21.740000000000002,
104527,Stan Wawrinka,183,R,118.31,7.89,2.18,86.45,50.16,37.7,19.78,13.69,4.21,6.32,240,151,391,61.38,8
104534,Dudi Sela,175,R,103.93,2.83,3.28,83.01,49.85,33.23,16.57,12.99,4.57,8.29,38,55,93,40.86,
104542,Jo-Wilfried Tsonga,188,R,111.15,9.51,2.58,79.98,48.57,38.22,16.41,12.93,3.36,5.04,148,92,240,61.67,6
104545,John Isner,208,R,117.9,21.16,2.32,87.94,61.34,49.28,14.87,14.54,2.49,3.5,246,167,413,59.56,6
104547,Horacio Zeballos,188,L,109.98,6.2,2.61,81.64,51.16,36.81,16.12,12.82,3.99,6.37,40,53,93,43.01,
104548,Brian Baker,190,R,107.09,4.91,5.09,86.27,51.73,36.36,15.36,13.0,4.09,7.55,2,10,12,16.669999999999998,
104559,Teymuraz Gabashvili,185,R,109.91,4.62,3.84,82.21,47.71,33.86,16.88,12.57,5.14,8.24,30,47,77,38.96,
104563,Luca Vanni,198,R,111.29,9.76,2.71,83.29,47.9,35.29,17.67,12.95,3.71,6.33,5,18,23,21.740000000000002,
104571,Marcos Baghdatis,183,R,105.64,7.42,3.58,77.15,41.36,30.93,17.96,12.17,3.83,6.39,86,78,164,52.44,
104586,Lukas Rosol,193,R,108.3,6.7,3.64,90.07,54.48,39.23,18.1,13.9,5.26,8.01,45,67,112,40.18,
104593,Daniel Gimeno Traver,185,R,97.26,2.95,3.31,74.97,45.26,30.59,13.92,11.18,4.15,7.33,21,30,51,41.18,
104594,Marinko Matosevic,194,R,93.62,3.75,3.5,73.25,43.38,27.81,13.88,11.12,4.0,7.69,3,16,19,15.790000000000001,
104597,Nicolas Almagro,183,R,106.1,8.64,3.11,78.8,43.65,32.57,18.13,12.47,3.27,5.66,50,55,105,47.620000000000005,1
104607,Tomas Berdych,196,R,108.94,7.76,2.44,78.9,45.66,35.42,17.3,12.68,3.42,5.37,156,82,238,65.55,1
104619,Jesse Huta Galung,188,R,99.0,3.0,4.0,65.0,44.0,35.0,10.0,13.0,1.0,4.0,0,3,3,0.0,
104620,Simone Bolelli,183,R,106.78,3.46,1.19,80.32,55.58,38.14,13.56,12.54,4.42,6.85,38,46,84,45.24,
104628,Alexander Kudryavtsev,183,R,125.25,6.5,3.5,109.0,57.75,41.75,23.75,16.0,7.5,11.5,0,4,4,0.0,
104629,Adrian Menendez Maceiras,185,R,113.28,4.33,2.22,81.0,49.61,33.61,15.39,12.17,4.06,7.39,6,15,21,28.57,
104655,Pablo Cuevas,180,R,109.03,6.03,2.96,79.53,48.46,35.22,16.3,12.6,3.86,6.25,146,138,284,51.41,4
104660,Sergiy Stakhovsky,193,R,106.39,7.67,2.84,84.23,50.49,36.61,16.91,13.01,4.44,7.08,45,67,112,40.18,
104665,Pablo Andujar,180,R,114.88,1.59,3.27,78.95,51.37,33.26,13.07,11.95,4.51,8.05,65,102,167,38.92,1
104672,Vincent Millot,173,L,108.88,4.24,3.06,84.29,52.12,35.35,15.18,12.76,5.88,9.35,6,13,19,31.580000000000002,
104676,Andreas Beck,190,L,83.5,3.5,3.5,63.0,37.0,23.0,13.5,11.0,2.0,6.0,0,2,2,0.0,
104678,Viktor Troicki,193,R,105.59,8.07,2.6,80.49,50.06,36.33,14.67,12.6,4.18,6.94,106,109,215,49.3,2
104719,Marcel Granollers,191,R,103.73,4.46,1.94,72.36,45.04,31.33,13.89,11.49,3.64,6.42,53,79,132,40.150000000000006,
104731,Kevin Anderson,203,R,119.79,14.5,3.11,83.76,53.22,41.72,16.1,13.62,3.37,5.05,181,120,301,60.129999999999995,4
104735,Tobias Kamke,180,R,105.33,1.52,3.24,78.0,45.48,29.81,15.86,11.81,3.76,7.48,8,13,21,38.1,
104736,Farrukh Dustov,196,R,136.0,2.0,4.0,90.67,66.67,38.33,9.0,13.33,5.67,11.67,1,4,5,20.0,
104745,Rafael Nadal,185,L,125.32,3.57,2.07,75.42,50.14,36.37,14.46,12.39,3.39,5.18,378,93,471,80.25,28
104755,Richard Gasquet,183,R,107.83,4.61,2.48,76.44,46.23,33.1,15.63,11.96,3.81,6.28,228,181,409,55.75,6
104770,Martin Fischer,180,R,118.0,2.0,4.0,107.0,57.0,36.0,26.0,15.0,15.0,20.0,0,1,1,0.0,
104783,Mikhail Ledovskikh,188,R,36.0,0.0,2.0,35.0,23.0,8.0,3.0,6.0,4.0,10.0,0,1,1,0.0,
104792,Gael Monfils,193,R,108.28,8.04,3.87,80.81,51.17,37.38,14.83,12.8,3.82,6.13,254,157,411,61.8,6
104797,Denis Istomin,185,R,106.5,6.48,1.75,79.89,52.33,37.3,13.71,12.61,4.09,6.77,68,103,171,39.77,1
104802,Fabrice Martin,198,R,87.0,0.0,1.0,59.0,32.0,22.0,12.0,11.0,0.0,4.0,0,2,2,0.0,
104804,Amir Weintraub,188,R,97.75,1.75,2.75,83.5,52.5,33.25,14.25,13.5,3.5,8.25,2,5,7,28.57,
104810,Zhe Li,183,R,122.5,4.0,1.42,85.67,56.58,35.58,15.33,13.08,4.5,8.67,4,11,15,26.669999999999998,
104813,Grega Zemlja,183,R,144.0,13.83,4.0,104.67,56.17,46.33,26.5,17.0,2.67,4.67,3,5,8,37.5,
104822,N Vijay Sundar Prashanth,178,R,67.0,0.0,0.0,55.0,28.0,12.0,14.0,8.0,5.0,10.0,0,1,1,0.0,
104864,Alex Kuznetsov,183,R,108.0,6.0,1.0,84.0,46.0,31.5,20.5,12.5,2.5,5.5,0,2,2,0.0,
104868,James Ward,190,R,111.12,6.5,3.75,87.81,52.62,35.25,16.06,13.44,4.94,8.88,4,23,27,14.81,
104871,Jeremy Chardy,188,R,111.14,7.91,4.32,80.89,50.29,36.71,14.95,12.7,4.16,6.72,138,146,284,48.59,
104873,Aleksandr Nedovyesov,188,R,122.6,4.6,2.2,92.0,61.8,37.6,13.6,13.6,6.4,11.6,2,10,12,16.669999999999998,
104882,Blaz Kavcic,188,R,113.4,4.1,3.65,82.65,51.25,33.2,14.55,12.7,5.25,9.5,6,21,27,22.220000000000002,
